trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.40818985546852,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,7,-24.00048693116979,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9801}",20,0,-205.5830315114393,"{0: 7, 1: 1, 2: 7, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.970299}",25,0,-89.18920142625002,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",35,0,-293.25977975500285,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-58.90452235357199,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-23.627873074131706,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-159.56479897582327,"{0: 8, 1: 7, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-222.66911098868098,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-87.53817159615528,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,16,-51.746385569675645,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,10,-4.201645848814948,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-127.26042031856828,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-125.54543038306936,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-207.57163516905922,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-120.3316912796116,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,6,-17.642582611086684,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-144.26882254569875,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,6,-78.61634071645628,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-73.6911949320532,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,15,-13.404668769471963,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-90.60227310981682,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-93.92014359472927,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7936142836436554}",35,21,-15.457926760181028,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-16.02826676013123,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-41.585219135827636,"{0: 17, 1: 6, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,1,-196.33699482778337,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,0,-110.87976655221135,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,1,-99.37809510542017,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,5,-78.7422021812959,"{0: 8, 1: 4, 2: 1, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7397003733882802}",30,5,-116.34473357557606,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,10,-8.14010133114011,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7249803359578534}",30,0,-113.40677525207981,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-5.108147346070126,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-46.0214393573666,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,14,-2.206818381656809,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,19,9.534057724206978,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,15,-2.4231524853090947,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-74.10252419629887,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,0,-22.294654565423087,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-79.6165310332837,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-85.99647938096028,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-53.47427598779663,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-119.84943200981567,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,4.25874687432318,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,10,-24.619488632092818,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,8,-4.656041110842435,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-150.07276588270432,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-63.568718370390656,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.611117239532865}",20,8,-5.456152522841066,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-87.05964427473167,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.598956006466161}",30,0,-112.51758955881752,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,10,-5.091542745877219,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-20.795244843317167,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,15,-79.73239726832931,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,12,2.5468443702545787,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
