trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.50678585323747,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.70073782834413,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.60349488860433,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.953647117806,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.78887226745874,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,11,-2.030076873663587,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.42706050852212,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.147800666083135,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.60754142060865,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-272.1162865510274,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-142.23858555176892,"{0: 22, 1: 6, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,7,-49.41164664110859,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.93907147333671,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.65471708680178,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.43241153195454,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,6,-153.39251957293897,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.8985715978792,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.00639524264022,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.64024428069848,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.39490976374043,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.24375362457712,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,14,-103.35149732686257,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,10,-43.86524972397135,"{0: 4, 1: 2, 2: 4, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-192.73402516575985,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-83.87748062791704,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-222.7209415309234,"{0: 10, 1: 5, 2: 5, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.83135007737886,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.564441359245574,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.09867712821492,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.2243843539558,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
